
"[2047,[1000, 1000, 10]]"                   ,"('relu', 'sigmoid')"   ,0.52478796
"[2047,[1000, 1000, 10]]"                   ,"('relu', 'softmax')"   ,0.52478796
"[2047,[1000, 1000, 10]]"                   ,"('sigmoid', 'sigmoid')",0.7653805
"[2047,[1000, 1000, 10]]"                   ,"('sigmoid', 'softmax')",0.7614383
"[2047,[1000, 1000]]"                       ,"('relu', 'sigmoid')"   ,0.6417393
"[2047,[1000, 1000]]"                       ,"('relu', 'softmax')"   ,0.78401625
"[2047,[1000, 1000, 10]]"                   ,"('relu', 'sigmoid')"   ,0.5272966 ,0.5227517
"[2047,[1000, 1000, 10]]"                   ,"('relu', 'softmax')"   ,0.5272966 ,0.5227517
"[2047,[1000, 1000, 10]]"                   ,"('sigmoid', 'sigmoid')",0.7629913 ,0.7409531
"[2047,[1000, 1000, 10]]"                   ,"('sigmoid', 'softmax')",0.7650221 ,0.74632746
"[2047,[1000, 1000]]"                       ,"('relu', 'sigmoid')"   ,0.6385139 ,0.61160874
"[2047,[1000, 1000]]"                       ,"('relu', 'softmax')"   ,0.7801935 ,0.7248298
"[2047,[1000, 1000]]"                       ,"('sigmoid', 'sigmoid')",0.7723092 ,0.7216052
"[2047,[1000, 1000]]"                       ,"('sigmoid', 'softmax')",0.47270337,0.4772483
"[2047,[1000, 10, 100]]"                    ,"('relu', 'sigmoid')"   ,0.7232111 ,0.7438194
"[2047,[1000, 10, 100]]"                    ,"('relu', 'softmax')"   ,0.6890455 ,0.67717665
"[2047,[1000, 10, 100]]"                    ,"('sigmoid', 'sigmoid')",0.7880779 ,0.74023646
"[2047,[1000, 10, 100]]"                    ,"('sigmoid', 'softmax')",0.7811492 ,0.73593694
"[2047,[2048, 1024, 512, 256, 128, 64, 32]]","('relu', 'sigmoid')"   ,0.67040974,0.5822286
"[2047,[2048, 1024, 512, 256, 128, 64, 32]]","('relu', 'softmax')"   ,0.7729065 ,0.7302042
"[2047,[2048, 1024, 512, 256, 128, 64, 32]]","('sigmoid', 'sigmoid')",0.5272966 ,0.5227517
"[2047,[2048, 1024, 512, 256, 128, 64, 32]]","('sigmoid', 'softmax')",0.7334846 ,0.7115729
"[2047,[2048, 1024, 100, 10]]"              ,"('relu', 'sigmoid')"   ,0.5272966 ,0.5227517
"[2047,[2048, 1024, 100, 10]]"              ,"('relu', 'softmax')"   ,0.5272966 ,0.5227517
"[2047,[2048, 1024, 100, 10]]"              ,"('sigmoid', 'sigmoid')",0.76191616,0.73557866
"[2047,[2048, 1024, 100, 10]]"              ,"('sigmoid', 'softmax')",0.76645565,0.6825511
"[2047,[2048, 1024]]"                       ,"('relu', 'sigmoid')"   ,0.64042526,0.62522393
"[2047,[2048, 1024]]"                       ,"('relu', 'softmax')"   ,0.5272966 ,0.5227517
"[2047,[2048, 1024]]"                       ,"('sigmoid', 'sigmoid')",0.7653805 ,0.7581512
"[2047,[2048, 1024]]"                       ,"('sigmoid', 'softmax')",0.5272966 ,0.5227517
"[2047,[10, 10, 10]]"                       ,"('relu', 'sigmoid')"   ,0.7339625 ,0.66821927
"[2047,[10, 10, 10]]"                       ,"('relu', 'softmax')"   ,0.7674113 ,0.6943748
"[2047,[10, 10, 10]]"                       ,"('sigmoid', 'sigmoid')",0.77338433,0.72124684
"[2047,[10, 10, 10]]"                       ,"('sigmoid', 'softmax')",0.7755346 ,0.70584023
"[2047,[1000, 500, 10, 500, 1000]]"         ,"('relu', 'sigmoid')"   ,0.5272966 ,0.5227517
"[2047,[1000, 500, 10, 500, 1000]]"         ,"('relu', 'softmax')"   ,0.5272966 ,0.5227517
"[2047,[1000, 500, 10, 500, 1000]]"         ,"('sigmoid', 'sigmoid')",0.7751762 ,0.7137227
"[2047,[1000, 500, 10, 500, 1000]]"         ,"('sigmoid', 'softmax')",0.76514155,0.71336436
